id;name;grams;kcal;proteins;fat;carbs;status
186;Kawa bez cukru;100;2;0.2;0;0.3;unconfirmed
187;Kawior;100;250;24;18;4;unconfirmed
188;Kefir 2% tluszczu;100;44;2.6;2;3.8;unconfirmed
189;Keks bakaliowy;100;401;6.4;17.8;53.8;unconfirmed
190;Ketchup;100;113;1.1;0.3;26.5;unconfirmed
191;Kinder Niespodzianka. czekoladka;100;560;9.5;35.3;51.5;unconfirmed
192;KFC. kurczak Hot Wings;100;318;17.4;20.8;15.3;unconfirmed
193;KFC. Twister;100;266;10.7;15.1;21.9;unconfirmed
194;Kielbasa krakowska parzona;100;168;20.1;9.7;0;unconfirmed
195;Kielbasa krakowska sucha;100;326;25.6;24.8;0;unconfirmed
196;Kielbasa mielona;100;206;17;14.2;2.6;unconfirmed
197;Kielbasa mortadela;100;207;12;17.7;;unconfirmed
198;Kielbasa mysliwska;100;395;23;33.5;0;unconfirmed
199;Kielbasa parowkowa;100;334;11.3;32;0.1;unconfirmed
200;Kielbasa podwawelska;100;249;17.3;19.6;0.9;unconfirmed
201;Kielbasa szynkowa;100;162;18;10;0;unconfirmed
202;Kielbasa szynkowa z indyka;100;89;17.2;2;0.2;unconfirmed
203;Kielbasa szynkowa z kurczaka;100;111;16.2;5;0;unconfirmed
204;Kielbasa torunska;100;265;20.9;20.1;0;unconfirmed
205;Kielbasa zwyczajna;100;199;18.6;13.8;0.1;unconfirmed
206;Kielbasa zywiecka;100;318;20.3;26.3;0;unconfirmed
207;Kielki fasoli. konserwa. odsaczone;100;15;1.4;0.1;2.1;unconfirmed
208;Kinder Bueno. wafel;100;532;5.5;35.5;47.6;unconfirmed
209;Kisiel;100;103;0.3;0.1;25.3;unconfirmed
210;Kiszka pasztetowa;100;387;12.5;35.7;4.3;unconfirmed
211;Kiwi;100;64;0.9;0.5;13.9;unconfirmed
212;Kiszone ogorki;100;12;0.7;0.2;1.9;unconfirmed
213;Kluski slaskie;100;155;2;0.1;36.6;unconfirmed
214;Knoppers. baton;100;528;8;32;52;unconfirmed
215;Kompot owocowy;100;69;0.2;0.1;16.9;unconfirmed
216;Koncentrat pomidorowy 30%;100;107;5.6;2;16.7;unconfirmed
217;Konina. mieso bez kosci;100;108;21.5;2.5;0;unconfirmed
218;Kopytka ziemniaczane mrozone;100;169;2.2;0.8;38.2;unconfirmed
219;Kotlet schabowy panierowany;100;357;19;24.1;15.9;unconfirmed
220;Krem czekoladowy Nutella;100;533;6.5;31;57;unconfirmed
221;Krewetki;100;86;18.1;0.8;1.5;unconfirmed
222;Krolik tuszka;100;156;21;8;0;unconfirmed
223;Kubus Multiwitamina. napoj;100;48;0.3;0.1;11.5;unconfirmed
224;Kukurydza. konserwa;100;94;2.9;1.2;17.8;unconfirmed
225;Kukurydza ziarno;100;145;3.7;1.5;29.1;unconfirmed
226;Kura tuszka;100;203;18.5;14.3;0;unconfirmed
227;Kurczak Hot Wings KFC;100;318;17.4;20.8;15.3;unconfirmed
228;Kurczak. piersi bez skory;100;100;21.5;1.3;0;unconfirmed
229;Kurczak. piersi ze skora;100;155;19.3;8.6;0;unconfirmed
230;Kurczak tuszka;100;158;18.6;9.3;0;unconfirmed
231;Kurczak. udo bez skory;100;125;17.8;6;0;unconfirmed
232;Kurczak. udo ze skora;100;161;17.8;10;0;unconfirmed
233;Kurka swieza. grzyb;100;23;1;0.4;3.8;unconfirmed
234;Kuropatwa tuszka;100;112;24.3;1.4;0.5;unconfirmed
235;Landrynki Brando;100;390;0;0;96.6;unconfirmed
236;Likier Advocat;100;280;4.4;6;28.4;unconfirmed
237;Likier Curacao;100;319;0;0;27.6;unconfirmed
238;Lody bakaliowe;100;133;2.2;7.2;14.6;unconfirmed
239;Lody czekoladowe;100;128;2.1;6.1;16.1;unconfirmed
240;Lody orzechowe;100;135;2.4;8;13.4;unconfirmed
241;Lody owocowe;100;114;1.5;5.3;15;unconfirmed
242;Lody smietankowe;100;135;1.7;7.6;15.2;unconfirmed
243;Lody waniliowe;100;120;1.8;6.5;13.6;unconfirmed
244;lopatka barania;100;287;15.6;25;0;unconfirmed
245;lopatka cieleca;100;105;19.9;2.8;0;unconfirmed
246;lopatka wieprzowa;100;259;16;21.7;0;unconfirmed
247;lososswiezy;100;202;19.9;13.6;0;unconfirmed
248;losos wedzony;100;176;20.5;9.5;1.5;unconfirmed
249;Majonez;100;732;1.1;79;4.2;unconfirmed
250;Maggi. przyprawa do zup;100;17;2.7;0;1.5;unconfirmed
251;Mak;100;542;19.5;40.8;24.3;unconfirmed
252;Makowiec;100;348;7;16;44;unconfirmed
253;Makaron bezjajeczny;100;368;10;1.6;78.5;unconfirmed
254;Makaron bezjajeczny z pszenicy durum;100;375;12.8;1.7;77.2;unconfirmed
255;Makaron czterojajeczny;100;383;12;3.4;76.2;unconfirmed
256;Makaron dwujajeczny;100;364;12;3.1;72;unconfirmed
257;Makrela wedzona;100;222;22.7;15.5;0;unconfirmed
258;Maliny;100;63;1.7;0.9;12;unconfirmed
259;Mandarynka;100;34;0.5;0.2;7.5;unconfirmed
260;Mango;100;73;0.5;0.3;17;unconfirmed
261;Marakuja;100;34;2.8;0.2;6.2;unconfirmed
262;Marchew;100;41;1;0.2;8.7;unconfirmed
263;Margaryna Benecol;100;540;0;60;0;unconfirmed
264;Margaryna Delma;100;496;0;55;0.2;unconfirmed
265;Margaryna Flora;100;328;0.1;35;3.2;unconfirmed
266;Margaryna mleczna;100;738;0;82;0;unconfirmed
267;Margaryna Pani Domu;100;360;0;40;0;unconfirmed
268;Margaryna Rama Classic;100;631;0;70;0.2;unconfirmed
269;Margaryna Vita;100;360;0;40;0;unconfirmed
270;Markizy. ciastka;100;487;5.6;23;64.3;unconfirmed
271;Mars. baton;100;454;3.6;18.2;68.9;unconfirmed
272;Maslo ekstra;100;748;0.7;82.5;0.7;unconfirmed
273;Maslo roslinne;100;747;0;83;0;unconfirmed
274;Maslo smietankowe;100;670;1.1;73.5;1.1;unconfirmed
275;Maslanka 0.5% tluszczu;100;34;3.3;0.5;4;unconfirmed
276;Maczka ziemniaczana;100;339;0.6;0.1;83.9;unconfirmed
277;Maka pszenna 500;100;347;9.2;1.2;74.9;unconfirmed
278;Maka pszenna 550;100;348;9.4;1.6;74.1;unconfirmed
279;Melon;100;16;0.4;0.1;3.4;unconfirmed
280;Metka;100;419;15;31;20;unconfirmed
281;Mielonka;100;206;17;14;2.5;unconfirmed
282;Migdaly;100;640;18.5;54;19.5;unconfirmed
283;Milky Way. baton;100;447;3.6;16.2;71.8;unconfirmed
284;Mintaj swiezy;100;72;16.6;0.6;0;unconfirmed
285;Miod pszczeli;100;319;0.3;0;79.5;unconfirmed
286;Mirinda. napoj;100;52;0;0;12.9;unconfirmed
287;Mleko 0% tluszczu;100;33;3.4;0;4.8;unconfirmed
288;Mleko 0.5% tluszczu;100;36;3.2;0.5;4.7;unconfirmed
289;Mleko 2% tluszczu;100;47;3;2;4.3;unconfirmed
290;Mleko 3.2% tluszczu;100;58;3;3.2;4.3;unconfirmed
291;Mleko jogurtowe Actimel;100;88;2.7;1.5;16;unconfirmed
292;Mleko kozie;100;72;3.3;4.5;4.6;unconfirmed
293;Mleko owcze;100;107;6.1;6.9;5.1;unconfirmed
294;Mleko w proszku pelne;100;479;27;24;38.7;unconfirmed
295;Mleko zageszczone nieslodzone;100;132;6.6;7.5;9.4;unconfirmed
296;Mleko zageszczone slodzone;100;323;7.5;8;55.3;unconfirmed
297;Monte. deser czekoladowy;100;195;2.8;13.3;15.9;unconfirmed
298;Morele;100;52;0.7;0.2;11.9;unconfirmed
299;Morele suszone;100;308;4.5;0;72;unconfirmed
