184;Kasza jeczmienna peczak;381;7.9;1.7;83.6;100;jedzenie;unconfirmed
185;Kasza kuskus;358;13;2;72;100;jedzenie;unconfirmed
186;Kasza manna;353;8.7;1.3;76.7;100;jedzenie;unconfirmed
187;Kawa bez cukru;2;0.2;0;0.3;100;jedzenie;unconfirmed
188;Kawior;250;24;18;4;100;jedzenie;unconfirmed
189;Kefir 2% tluszczu;44;2.6;2;3.8;100;jedzenie;unconfirmed
190;Keks bakaliowy;401;6.4;17.8;53.8;100;jedzenie;unconfirmed
191;Ketchup;113;1.1;0.3;26.5;100;jedzenie;unconfirmed
192;Kinder Niespodzianka. czekoladka;560;9.5;35.3;51.5;100;jedzenie;unconfirmed
193;KFC. kurczak Hot Wings;318;17.4;20.8;15.3;100;jedzenie;unconfirmed
194;KFC. Twister;266;10.7;15.1;21.9;100;jedzenie;unconfirmed
195;Kielbasa krakowska parzona;168;20.1;9.7;0;100;jedzenie;unconfirmed
196;Kielbasa krakowska sucha;326;25.6;24.8;0;100;jedzenie;unconfirmed
197;Kielbasa mielona;206;17;14.2;2.6;100;jedzenie;unconfirmed
198;Kielbasa mortadela;207;12;17.7;;100;jedzenie;unconfirmed
199;Kielbasa mysliwska;395;23;33.5;0;100;jedzenie;unconfirmed
200;Kielbasa parowkowa;334;11.3;32;0.1;100;jedzenie;unconfirmed
201;Kielbasa podwawelska;249;17.3;19.6;0.9;100;jedzenie;unconfirmed
202;Kielbasa szynkowa;162;18;10;0;100;jedzenie;unconfirmed
203;Kielbasa szynkowa z indyka;89;17.2;2;0.2;100;jedzenie;unconfirmed
204;Kielbasa szynkowa z kurczaka;111;16.2;5;0;100;jedzenie;unconfirmed
205;Kielbasa torunska;265;20.9;20.1;0;100;jedzenie;unconfirmed
206;Kielbasa zwyczajna;199;18.6;13.8;0.1;100;jedzenie;unconfirmed
207;Kielbasa zywiecka;318;20.3;26.3;0;100;jedzenie;unconfirmed
208;Kielki fasoli. konserwa. odsaczone;15;1.4;0.1;2.1;100;jedzenie;unconfirmed
209;Kinder Bueno. wafel;532;5.5;35.5;47.6;100;jedzenie;unconfirmed
210;Kisiel;103;0.3;0.1;25.3;100;jedzenie;unconfirmed
211;Kiszka pasztetowa;387;12.5;35.7;4.3;100;jedzenie;unconfirmed
212;Kiwi;64;0.9;0.5;13.9;100;jedzenie;unconfirmed
213;Kiszone ogorki;12;0.7;0.2;1.9;100;jedzenie;unconfirmed
214;Kluski slaskie;155;2;0.1;36.6;100;jedzenie;unconfirmed
215;Knoppers. baton;528;8;32;52;100;jedzenie;unconfirmed
216;Kompot owocowy;69;0.2;0.1;16.9;100;jedzenie;unconfirmed
217;Koncentrat pomidorowy 30%;107;5.6;2;16.7;100;jedzenie;unconfirmed
218;Konina. mieso bez kosci;108;21.5;2.5;0;100;jedzenie;unconfirmed
219;Kopytka ziemniaczane mrozone;169;2.2;0.8;38.2;100;jedzenie;unconfirmed
220;Kotlet schabowy panierowany;357;19;24.1;15.9;100;jedzenie;unconfirmed
221;Krem czekoladowy Nutella;533;6.5;31;57;100;jedzenie;unconfirmed
222;Krewetki;86;18.1;0.8;1.5;100;jedzenie;unconfirmed
223;Krolik tuszka;156;21;8;0;100;jedzenie;unconfirmed
224;Kubus Multiwitamina. napoj;48;0.3;0.1;11.5;100;jedzenie;unconfirmed
225;Kukurydza. konserwa;94;2.9;1.2;17.8;100;jedzenie;unconfirmed
226;Kukurydza ziarno;145;3.7;1.5;29.1;100;jedzenie;unconfirmed
227;Kura tuszka;203;18.5;14.3;0;100;jedzenie;unconfirmed
228;Kurczak Hot Wings KFC;318;17.4;20.8;15.3;100;jedzenie;unconfirmed
229;Kurczak. piersi bez skory;100;21.5;1.3;0;100;jedzenie;unconfirmed
230;Kurczak. piersi ze skora;155;19.3;8.6;0;100;jedzenie;unconfirmed
231;Kurczak tuszka;158;18.6;9.3;0;100;jedzenie;unconfirmed
232;Kurczak. udo bez skory;125;17.8;6;0;100;jedzenie;unconfirmed
233;Kurczak. udo ze skora;161;17.8;10;0;100;jedzenie;unconfirmed
234;Kurka swieza. grzyb;23;1;0.4;3.8;100;jedzenie;unconfirmed
235;Kuropatwa tuszka;112;24.3;1.4;0.5;100;jedzenie;unconfirmed
236;Landrynki Brando;390;0;0;96.6;100;jedzenie;unconfirmed
237;Likier Advocat;280;4.4;6;28.4;100;jedzenie;unconfirmed
238;Likier Curacao;319;0;0;27.6;100;jedzenie;unconfirmed
239;Lody bakaliowe;133;2.2;7.2;14.6;100;jedzenie;unconfirmed
240;Lody czekoladowe;128;2.1;6.1;16.1;100;jedzenie;unconfirmed
241;Lody orzechowe;135;2.4;8;13.4;100;jedzenie;unconfirmed
242;Lody owocowe;114;1.5;5.3;15;100;jedzenie;unconfirmed
243;Lody smietankowe;135;1.7;7.6;15.2;100;jedzenie;unconfirmed
244;Lody waniliowe;120;1.8;6.5;13.6;100;jedzenie;unconfirmed
245;lopatka barania;287;15.6;25;0;100;jedzenie;unconfirmed
246;lopatka cieleca;105;19.9;2.8;0;100;jedzenie;unconfirmed
247;lopatka wieprzowa;259;16;21.7;0;100;jedzenie;unconfirmed
248;losos swiezy;202;19.9;13.6;0;100;jedzenie;unconfirmed
249;losos wedzony;176;20.5;9.5;1.5;100;jedzenie;unconfirmed
250;Majonez;732;1.1;79;4.2;100;jedzenie;unconfirmed
251;Maggi. przyprawa do zup;17;2.7;0;1.5;100;jedzenie;unconfirmed
252;Mak;542;19.5;40.8;24.3;100;jedzenie;unconfirmed
253;Makowiec;348;7;16;44;100;jedzenie;unconfirmed
254;Makaron bezjajeczny;368;10;1.6;78.5;100;jedzenie;unconfirmed
255;Makaron bezjajeczny z pszenicy durum;375;12.8;1.7;77.2;100;jedzenie;unconfirmed
256;Makaron czterojajeczny;383;12;3.4;76.2;100;jedzenie;unconfirmed
257;Makaron dwujajeczny;364;12;3.1;72;100;jedzenie;unconfirmed
258;Makrela wedzona;222;22.7;15.5;0;100;jedzenie;unconfirmed
259;Maliny;63;1.7;0.9;12;100;jedzenie;unconfirmed
260;Mandarynka;34;0.5;0.2;7.5;100;jedzenie;unconfirmed
261;Mango;73;0.5;0.3;17;100;jedzenie;unconfirmed
262;Marakuja ;34;2.8;0.2;6.2;100;jedzenie;unconfirmed
263;Marchew;41;1;0.2;8.7;100;jedzenie;unconfirmed
264;Margaryna Benecol;540;0;60;0;100;jedzenie;unconfirmed
265;Margaryna Delma;496;0;55;0.2;100;jedzenie;unconfirmed
266;Margaryna Flora;328;0.1;35;3.2;100;jedzenie;unconfirmed
267;Margaryna mleczna;738;0;82;0;100;jedzenie;unconfirmed
268;Margaryna Pani Domu;360;0;40;0;100;jedzenie;unconfirmed
269;Margaryna Rama Classic;631;0;70;0.2;100;jedzenie;unconfirmed
